1108089;2002.1;01 ;334064
1108090;2002.1;01 ;337048
1109035;2002.1;06 ;338404
1109035;2002.1;07 ;333086
1109035;2002.1;11 ;000000
1109101;2002.1;01 ;329262
1109103;2002.1;02 ;000000
1109103;2002.1;04 ;000000
1109104;2002.1;02 ;332568
1109105;2002.1;01 ;330113
1109113;2002.1;01 ;330365
1114107;2002.1;01 ;1350510
1114107;2002.1;02 ;2327828
1114114;2002.1;01 ;335559
1301014;2002.1;01 ;1031387
1301014;2002.1;03 ;1031387
1301061;2002.1;01 ;000000
1301078;2002.1;01 ;000000
1303021;2002.1;01 ;337267
1303021;2002.1;04 ;333393
1304012;2002.1;01 ;330506
1304015;2002.1;01 ;338305
1304055;2002.1;01 ;337171
1304055;2002.1;03 ;330506
1304117;2002.1;01 ;330283
1305020;2002.1;01 ;000000
1305218;2002.1;01 ;6337241
1305219;2002.1;01 ;338341
1305220;2002.1;01 ;1009025
1305222;2002.1;01 ;338370
1307151;2002.1;01 ;000000
1411167;2002.1;01 ;332903
1411167;2002.1;02 ;337008
1411168;2002.1;01 ;1153913
1411169;2002.1;01 ;332294
1411170;2002.1;01 ;330155
1411171;2002.1;01 ;330365
1411172;2002.1;01 ;1285217
1411173;2002.1;01 ;337904
1411174;2002.1;01 ;2176321
1411175;2002.1;01 ;330509
1411176;2002.1;01 ;337791
1411177;2002.1;01 ;329840
1411178;2002.1;01 ;337791
1411178;2002.1;02 ;337791
1411179;2002.1;01 ;1285217
1411180;2002.1;01 ;337904
1411180;2002.1;02 ;337904
1411181;2002.1;01 ;1126110
1411182;2002.1;01 ;2176321
1411182;2002.1;02 ;1354013
1411183;2002.1;01 ;337272
1411184;2002.1;01 ;335033
1411185;2002.1;01 ;337272
1411186;2002.1;01 ;1153913
1411187;2002.1;01 ;1050953
1411188;2002.1;01 ;000000
1411189;2002.1;01 ;337008
1411190;2002.1;01 ;335033
1411191;2002.1;01 ;335033
1411192;2002.1;01 ;337184
1411193;2002.1;01 ;407511
1411194;2002.1;01 ;332697
1411195;2002.1;01 ;332294
1411196;2002.1;01 ;1126110
1411197;2002.1;01 ;330155
1411201;2002.1;01 ;330261
1411202;2002.1;01 ;1126493
1411203;2002.1;01 ;000000
1411204;2002.1;01 ;335092
1411210;2002.1;01 ;330261
1411221;2002.1;01 ;407511
1411234;2002.1;01 ;330365
1411235;2002.1;01 ;335092
1411236;2002.1;01 ;332697
1108089;2002.2;01 ;334064
1108090;2002.2;01 ;337048
1109035;2002.2;05 ;000000
1109101;2002.2;01 ;329262
1109103;2002.2;02 ;332624
1109104;2002.2;02 ;332568
1109113;2002.2;01 ;000000
1114107;2002.2;01 ;1350510
1114114;2002.2;01 ;335559
1301014;2002.2;01 ;331042
1301014;2002.2;03 ;000000
1301055;2002.2;01 ;000000
1301061;2002.2;01 ;000000
1301061;2002.2;02 ;000000
1301078;2002.2;02 ;000000
1303021;2002.2;01 ;330841
1303021;2002.2;03 ;330841
1303021;2002.2;04 ;332312
1304024;2002.2;01 ;337171
1304055;2002.2;01 ;337171
1304055;2002.2;02 ;337171
1304117;2002.2;02 ;330283
1305020;2002.2;01 ;000000
1305033;2002.2;01 ;1047434
1305166;2002.2;01 ;000000
1305218;2002.2;01 ;6337241
1305219;2002.2;01 ;338341
1305220;2002.2;01 ;1009025
1307151;2002.2;01 ;000000
1411167;2002.2;01 ;332903
1411167;2002.2;02 ;337008
1411168;2002.2;01 ;1153913
1411169;2002.2;01 ;1126493
1411170;2002.2;01 ;330155
1411171;2002.2;01 ;330365
1411172;2002.2;01 ;1285217
1411173;2002.2;01 ;337904
1411174;2002.2;01 ;1354013
1411175;2002.2;01 ;330509
1411176;2002.2;01 ;337791
1411177;2002.2;01 ;330509
1411178;2002.2;01 ;337791
1411179;2002.2;01 ;1285217
1411180;2002.2;01 ;337904
1411180;2002.2;02 ;337904
1411181;2002.2;01 ;1126110
1411182;2002.2;01 ;2176321
1411182;2002.2;02 ;2176321
1411183;2002.2;01 ;337272
1411184;2002.2;01 ;335033
1411185;2002.2;01 ;337272
1411186;2002.2;01 ;335092
1411187;2002.2;01 ;1050953
1411188;2002.2;01 ;1339404
1411189;2002.2;01 ;337008
1411190;2002.2;01 ;335033
